Company,City,Affected Workers,Notice Received,Original Notice Type / Update Type,Layoff Begin Date,NAICS Description,CountyWorkforce Development Area
Eastbay Retail Store,Wausau,21,20200428,WR,4/26/2020,Shoe Stores,Marathon,North Central
Enterprise Holdings,"Waukesha, Oak Creek, Milwaukee",260,20200429,WR,3/23/2020,Passenger Car Rental,"Waukesha, Milwaukee","Milwaukee, WOW"
Sheraton Milwaukee Brookfield Hotel,Brookfield,101,20200430,WR,3/27/2020,Hotels & Motels exc Casino Hotels,Waukesha,WOW
Bluegreen Vacations,Wisconsin Dells,242,20200430,WR,3/27/2020,Lessors of Residentials Bldgs,Sauk,South Central
Covia Corp.,Tomah,32,20200504,WR,5/4/2020,Ind Sand Mining,Monroe,Western
Holy Family College,Manitowoc,110,20200506,CL,5/6/2020,Colleges & Universities,Manitowoc,Bay Area
Badger Mining Corporation,Taylor,38,20200514,WR,5/14/2020,Ind Sand Mining,Jackson,Western
Atrium Hospitality,Middleton,125,20200518,WR,3/12/2020,Hotels & Motels exc Casino Hotels,Dane,South Central
Foremost Farms USA,Chilton,50,20200518,CL,7/17/2020,Cheese Mfg,Calumet,Fox Valley
"Wigwam Mills, Inc.",Sheboygan,121,20200522,WR,6/1/2020,Other Hosiery & Sock Mills,Sheboygan,Bay Area
Documation LLC,Eau Claire,28,20200526,WR,6/9/2020,Commercial Gravure Printing,Eau Claire,West Central
BRP US,Sturtevant,387,20200527,WR,5/27/2020,Other Engine Equip Mfg,Racine,Southeast
Alkar-Rapid Pak Inc.,Lodi,25,20200528,WR,5/18/2020,Food Product Machinery Mfg,Columbia,South Central
Renaissance Manufacturing Group,Waukesha,120,20200601,CL,7/31/2020,Iron Foundries,Waukesha,WOW
Union Cab of Madison Cooperative,Madison,126,20200601,WR,3/22/2020,Taxi Service,Dane,South Central
Humane Manufacturing LLC,Baraboo,21,20200601,CL,7/31/2020,Resilient Floor Covering Mfg.,Sauk,South Central
PMI Entertainment Group Inc.,Green Bay,31,20200604,WR,7/1/2020,Promoters With Facilities,Brown,Bay Area
Astec Industries Inc and Telsmith Inc,Mequon,135,20200608,CL,8/14/2020,Construction Machinery Mfg,Ozaukee,WOW
Verso Corporation,Wisconsin Rapids,902,20200610,CL,7/31/2020,Paper exc Newsprint Mills,Wood,North Central
Nova Wildcat Shur-Line LLC,St. Francis,93,20200612,CL,8/14/2020,Broom Brush & Mop Mfg,Milwaukee,Milwaukee
Derse Inc.,Milwaukee,87,20200612,WR,6/11/2020,Sign Mfg.,Milwaukee,Milwaukee
Hyatt Corporation,Green Bay,42,20200615,WR,3/22/2020,Hotels & Motels exc Casino Hotels,Brown,Bay Area
Catalytic Combustion,Bloomer,26,20200615,WR,6/7/2020,Air Purification Equip Mfg,Chippewa,West Central
Novares Americas Engine Components Inc,Richland Center,74,20200617,CL,8/17/2020,All Other Plastics Product Mfg.,Richland,Southwest
American Phoenix,Eau Claire,46,20200619,WR,6/19/2020,All Other Rubber Product Mfg,Eau Claire,West Central
"Graceland Fruit Wisconsin, Inc.",Warrens,65,20200623,CL,6/18/2020,Dried & Dehydrated Food Mfg,Monroe,Western
"Demco, Inc.","Madison, Deforest",38,20200625,WR,8/3/2020,Office Supplies Merch Whls,Dane,South Central
Levy Premium Food Service at Fiserv Forum,Milwaukee,47,20200625,WR,8/1/2020,Food Service Contractors,Milwaukee,Milwaukee
Levy Premium Food Service at Wisconsin Center District,Milwaukee,25,20200625,WR,8/1/2020,Food Service Contractors,Milwaukee,Milwaukee
ALG Vacations,Milwaukee,149,20200625,WR,7/1/2020,Tour Operators,Milwaukee,Milwaukee
Hilton Madison Monona Terrace,Madison,40,20200625,WR,7/31/2020,Hotels & Motels exc Casino Hotels,Dane,South Central
Hilton Milwaukee City Center,Milwaukee,211,20200625,WR,7/31/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
The Pfister Hotel,Milwaukee,89,20200625,WR,7/31/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
Saint Kate - The Arts Hotel,Milwaukee,42,20200625,WR,7/31/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
SafeHouse Milwaukee,Milwaukee,1,20200625,WR,7/31/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
Wisconsin Hospitality Linen Service,Milwaukee,1,20200625,WR,7/31/2020,Linen Supply,Milwaukee,Milwaukee
Marcus Hotels,Milwaukee,13,20200625,WR,7/31/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
Grand Geneva Resort & Spa,Lake Geneva,23,20200626,WR,7/31/2020,Hotels & Motels exc Casino Hotels,Walworth,Southeast
Timber Ridge Lodge & Waterpark,Lake Geneva,5,20200626,WR,7/31/2020,Hotels & Motels exc Casino Hotels,Walworth,Southeast
Briggs & Stratton,Wauwatosa,228,20200626,WR,8/28/2020,Motor & Generator Mfg,Milwaukee,Milwaukee
Adecco USA Inc.,Wauwatosa,120,20200629,WR,8/28/2020,Motor & Generator Mfg,Milwaukee,Milwaukee
GE Healthcare,Wauwatosa,123,20200630,WR,8/31/2020,Medical Equip Merch Whls,Milwaukee,Milwaukee
Kimpton Journeyman Hotel,Milwaukee,97,20200701,WR,3/15/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
Hilton Garden Inn - Milwaukee Airport,Milwaukee,48,20200702,WR,6/30/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
Home2 Suites,Milwaukee,16,20200702,WR,6/30/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
SpringHill Suites,Madison,37,20200702,WR,6/30/2020,Hotels & Motels exc Casino Hotels,Dane,South Central
Hampton Inn and Suites,Madison,45,20200702,WR,6/30/2020,Hotels & Motels exc Casino Hotels,Dane,South Central
SpringHill Suites Milwaukee,Milwaukee,20,20200702,WR,4/3/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
Westin Milwaukee,Milwaukee,78,20200702,WR,3/20/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
Marriott Milwaukee Downtown,Milwaukee,56,20200702,WR,4/3/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
Delaware North Companies Inc.,"Milwaukee, Green Bay",1303,20200703,WR,3/1/2020,Full-service restaurants,"Milwaukee, Brown","Milwaukee, Bay Area"
